69.,Inglourious Basterds,2009,2h 33m,R,8.4
70.,The Dark Knight Rises,2012,2h 44m,PG-13,8.4
71.,American Beauty,1999,2h 2m,R,8.3
72.,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,PG,8.4
73.,Oldboy,2003,2h,R,8.4
74.,Coco,2017,1h 45m,PG,8.4
75.,Amadeus,1984,2h 40m,PG,8.4
76.,Toy Story,1995,1h 21m,G,8.3
77.,Das Boot,1981,2h 29m,Not Found,8.4
78.,Braveheart,1995,2h 58m,R,8.3
79.,Avengers: Endgame,2019,3h 1m,PG-13,8.4
80.,Joker,2019,2h 2m,R,8.4
81.,Princess Mononoke,1997,2h 14m,PG-13,8.3
82.,Good Will Hunting,1997,2h 6m,R,8.3
83.,Your Name.,2016,1h 46m,TV-PG,8.4
84.,Once Upon a Time in America,1984,3h 49m,R,8.3
85.,High and Low,1963,2h 23m,Not Rated,8.4
86.,3 Idiots,2009,2h 50m,PG-13,8.4
87.,Singin' in the Rain,1952,1h 43m,G,8.3
88.,Capernaum,2018,2h 6m,R,8.4
89.,Requiem for a Dream,2000,1h 42m,Unrated,8.3
90.,Come and See,1985,2h 22m,Not Rated,8.4
91.,Toy Story 3,2010,1h 43m,G,8.3
92.,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3
93.,Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3
94.,2001: A Space Odyssey,1968,2h 29m,G,8.3
95.,The Hunt,2012,1h 55m,R,8.3
96.,Reservoir Dogs,1992,1h 39m,R,8.3
97.,Ikiru,1952,2h 23m,Not Rated,8.3
98.,Lawrence of Arabia,1962,3h 38m,Approved,8.3
99.,The Apartment,1960,2h 5m,Approved,8.3
100.,Citizen Kane,1941,1h 59m,PG,8.3
101.,M,1931,1h 39m,Passed,8.3
102.,North by Northwest,1959,2h 16m,Approved,8.3
103.,Vertigo,1958,2h 8m,PG,8.3
104.,Double Indemnity,1944,1h 47m,Passed,8.3
105.,Amélie,2001,2h 2m,R,8.3
106.,Scarface,1983,2h 50m,18+,8.3
107.,Full Metal Jacket,1987,1h 56m,R,8.3
108.,Incendies,2010,2h 11m,R,8.3
109.,A Clockwork Orange,1971,2h 16m,X,8.3
110.,Heat,1995,2h 50m,R,8.3
111.,Up,2009,1h 36m,PG,8.3
112.,To Kill a Mockingbird,1962,2h 9m,Approved,8.3
113.,The Sting,1973,2h 9m,PG,8.3
114.,Hamilton,2020,2h 40m,PG-13,8.3
115.,A Separation,2011,2h 3m,PG-13,8.3
116.,Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2
117.,Metropolis,1927,2h 33m,Not Rated,8.3
118.,Die Hard,1988,2h 12m,R,8.2
119.,Like Stars on Earth,2007,2h 42m,PG,8.3
120.,Snatch,2000,1h 42m,R,8.2
121.,L.A. Confidential,1997,2h 18m,R,8.2
122.,Bicycle Thieves,1948,1h 29m,Not Rated,8.3
123.,1917,2019,1h 59m,R,8.2
124.,Taxi Driver,1976,1h 54m,R,8.2
125.,Downfall,2004,2h 36m,R,8.2
126.,Dangal,2016,2h 41m,Not Rated,8.3
127.,For a Few Dollars More,1965,2h 12m,R,8.2
128.,Batman Begins,2005,2h 20m,PG-13,8.2
129.,Top Gun: Maverick,2022,2h 10m,PG-13,8.3
130.,Some Like It Hot,1959,2h 1m,Passed,8.2
131.,The Kid,1921,1h 8m,Passed,8.2
132.,The Wolf of Wall Street,2013,3h,R,8.2
133.,The Father,2020,1h 37m,PG-13,8.2
134.,Green Book,2018,2h 10m,PG-13,8.2
135.,All About Eve,1950,2h 18m,Passed,8.2
136.,Judgment at Nuremberg,1961,2h 59m,Approved,8.3
137.,The Truman Show,1998,1h 43m,PG,8.2
138.,There Will Be Blood,2007,2h 38m,R,8.2
139.,Casino,1995,2h 58m,R,8.2
140.,Shutter Island,2010,2h 18m,R,8.2
141.,Ran,1985,2h 40m,R,8.2
142.,Pan's Labyrinth,2006,1h 58m,R,8.2
143.,Jurassic Park,1993,2h 7m,PG-13,8.2
144.,The Sixth Sense,1999,1h 47m,PG-13,8.2
145.,Unforgiven,1992,2h 10m,R,8.2
146.,A Beautiful Mind,2001,2h 15m,PG-13,8.2
147.,No Country for Old Men,2007,2h 2m,R,8.2
148.,The Treasure of the Sierra Madre,1948,2h 6m,Passed,8.2
149.,Yojimbo,1961,1h 50m,Not Rated,8.2
150.,Kill Bill: Vol. 1,2003,1h 51m,R,8.2
151.,The Thing,1982,1h 49m,R,8.2
152.,Monty Python and the Holy Grail,1975,1h 31m,PG,8.2
153.,The Great Escape,1963,2h 52m,Approved,8.2
154.,Finding Nemo,2003,1h 40m,G,8.2
155.,Rashomon,1950,1h 28m,Not Rated,8.2
156.,The Elephant Man,1980,2h 4m,PG,8.2
157.,Chinatown,1974,2h 10m,R,8.2
158.,Howl's Moving Castle,2004,1h 59m,PG,8.2
159.,Dial M for Murder,1954,1h 45m,PG,8.2
160.,Gone with the Wind,1939,3h 58m,Passed,8.2
161.,Prisoners,2013,2h 33m,R,8.1
162.,V for Vendetta,2005,2h 12m,R,8.2
163.,Raging Bull,1980,2h 9m,R,8.1
164.,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1
165.,The Secret in Their Eyes,2009,2h 9m,R,8.2
166.,Inside Out,2015,1h 35m,PG,8.1
167.,Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2
168.,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1
169.,Trainspotting,1996,1h 33m,R,8.1
170.,The Bridge on the River Kwai,1957,2h 41m,PG,8.1
171.,Fargo,1996,1h 38m,R,8.1
172.,Warrior,2011,2h 20m,PG-13,8.1
